Company Name,Bse,Industry,Symbol,Market Cap
Abbott India Ltd,500488,Pharmaceuticals - Bulk Drugs & Formln,ABBOTINDIA,Mid
Aditya Birla Capital Ltd,540691,Finance & Investments,ABCAPITAL,Mid
Aditya Birla Fashion & Retail Ltd,535755,Textiles - Retail,ABFRL,Mid
Alkem Laboratories Ltd,539523,Pharmaceuticals - Bulk Drugs & Formln,ALKEM,Mid
Ashok Leyland Ltd,500477,Automobiles - LCVs / HCVs,ASHOKLEY,Mid
Astral Ltd,532830,Plastics Products,ASTRAL,Mid
AU Small Finance Bank Ltd,540611,Banks - Private Sector,AUBANK,Mid
Aurobindo Pharma Ltd,524804,Pharmaceuticals - Bulk Drugs & Formln,AUROPHARMA,Mid
Balkrishna Industries Ltd,502355,Tyres,BALKRISIND,Mid
Bank of India,532149,Banks - Public Sector,BANKINDIA,Mid
Bata India Ltd,500043,Leather / Leather Products,BATAINDIA,Mid
Bharat Forge Ltd,500493,Castings & Forgings,BHARATFORG,Mid
Bharat Heavy Electricals Ltd,500103,Electric Equipment,BHEL,Mid
Canara Bank,532483,Banks - Public Sector,CANBK,Mid
Coforge Ltd,532541,Computers - Software,COFORGE,Mid
Container Corporation Of India Ltd,531344,Logistics,CONCOR,Mid
Coromandel International Ltd,506395,Fertilizers,COROMANDEL,Mid
Crompton Greaves Consumer Electricals Ltd,539876,Electric Equipment,CROMPTON,Mid
Cummins India Ltd,500480,Engines,CUMMINSIND,Mid
Dalmia Bharat Ltd,542216,Cement & Cement Products,DALBHARAT,Mid
Deepak Nitrite Ltd,506401,Chemicals,DEEPAKNTR,Mid
Dixon Technologies (India) Ltd,540699,Electronics - Consumer,DIXON,Mid
Dr Lal Pathlabs Ltd,539524,Healthcare,LALPATHLAB,Mid
Emami Ltd,531162,FMCG - Personal Care,EMAMILTD,Mid
Escorts Kubota Ltd,500495,Automobiles - Tractors,ESCORTS,Mid
Federal Bank Ltd,500469,Banks - Private Sector,FEDERALBNK,Mid
Fortis Healthcare Ltd,532843,Healthcare,FORTIS,Mid
Godrej Properties Ltd,533150,Construction,GODREJPROP,Mid
Gujarat Gas Ltd,539336,Gas Distribution,GUJGASLTD,Mid
Gujarat State Petronet Ltd,532702,Gas Distribution,GSPL,Mid
Hindustan Petroleum Corporation Ltd,500104,Refineries,HINDPETRO,Mid
Hindustan Zinc Ltd,500188,Mining & Mineral products,HINDZINC,Mid
Honeywell Automation India Ltd,517174,Electronics - Components,HONAUT,Mid
ICICI Securities Ltd,541179,Finance & Investments,ISEC,Mid
IDFC First Bank Ltd,539437,Banks - Private Sector,IDFCFIRSTB,Mid
Indiamart Intermesh Ltd,542726,E-Commerce/App based Aggregator,INDIAMART,Mid
Indian Bank,532814,Banks - Public Sector,INDIANB,Mid
Indian Energy Exchange Ltd,540750,Finance & Investments,IEX,Mid
Indian Hotels Co Ltd,500850,Hotels,INDHOTEL,Mid
Ipca Laboratories Ltd,524494,Pharmaceuticals - Bulk Drugs & Formln,IPCALAB,Mid
Jindal Steel & Power Ltd,532286,Steel,JINDALSTEL,Mid
JSW Energy Ltd,533148,Power Generation And Supply,JSWENERGY,Mid
Jubilant Foodworks Ltd,533155,Hotels,JUBLFOOD,Mid
L&T Finance Ltd,533519,Finance & Investments,LTF,Mid
L&T Technology Services Ltd,540115,Computers - Software,LTTS,Mid
Laurus Labs Ltd,540222,Pharmaceuticals - Bulk Drugs & Formln,LAURUSLABS,Mid
LIC Housing Finance Ltd,500253,Finance - Housing,LICHSGFIN,Mid
Linde India Ltd,523457,Chemicals,LINDEINDIA,Mid
Lupin Ltd,500257,Pharmaceuticals - Bulk Drugs & Formln,LUPIN,Mid
Mahindra & Mahindra Financial Services Ltd,532720,Finance & Investments,M&MFIN,Mid
Max Financial Services Ltd,500271,Finance & Investments,MFSL,Mid
Max Healthcare Institute Ltd,543220,Healthcare,MAXHEALTH,Mid
MRF Ltd,500290,Tyres,MRF,Mid
National Aluminium Company Ltd,532234,Aluminium and Aluminium Products,NATIONALUM,Mid
Navin Fluorine International Ltd,532504,Chemicals,NAVINFLUOR,Mid
Nippon Life India Asset Management Ltd,540767,Finance & Investments,NAM-INDIA,Mid
Oberoi Realty Ltd,533273,Construction,OBEROIRLTY,Mid
Oil India Ltd,533106,Oil Drilling / Allied Services,OIL,Mid
Oracle Financial Services Software Ltd,532466,Computers - Software,OFSS,Mid
Page Industries Ltd,532827,Textiles - Retail,PAGEIND,Mid
Patanjali Foods Ltd,500368,Solvent Extraction,PATANJALI,Mid
Persistent Systems Ltd,533179,Computers - Software,PERSISTENT,Mid
Petronet LNG Ltd,532522,Gas Distribution,PETRONET,Mid
Polycab India Ltd,542652,Cables - Power,POLYCAB,Mid
Poonawalla Fincorp Ltd,524000,Finance & Investments,POONAWALLA,Mid
Power Finance Corporation Ltd,532810,Finance & Investments,PFC,Mid
Prestige Estates Projects Ltd,533274,Construction,PRESTIGE,Mid
Punjab National Bank,532461,Banks - Public Sector,PNB,Mid
REC Ltd,532955,Finance & Investments,RECLTD,Mid
Samvardhana Motherson International Ltd,517334,Auto Ancillaries,MOTHERSON,Mid
Shriram Finance Ltd,511218,Finance & Investments,SHRIRAMFIN,Mid
Steel Authority of India Ltd,500113,Steel,SAIL,Mid
Sun TV Network Ltd,532733,Entertainment / Electronic Media Software,SUNTV,Mid
Syngene International Ltd,539268,Pharmaceuticals - Bulk Drugs & Formln,SYNGENE,Mid
Tata Chemicals Ltd,500770,Chemicals,TATACHEM,Mid
Tata Communications Ltd,500483,Telecommunications - Service Provider,TATACOMM,Mid
Tata Elxsi Ltd,500408,Computers - Software,TATAELXSI,Mid
Tata Teleservices (Maharashtra) Ltd,532371,Telecommunications - Service Provider,TTML,Mid
The Ramco Cements Ltd,500260,Cement & Cement Products,RAMCOCEM,Mid
Torrent Power Ltd,532779,Power Generation And Supply,TORNTPOWER,Mid
Trent Ltd,500251,FMCD - Retail,TRENT,Mid
Trident Ltd,521064,Textiles - Cotton/Blended,TRIDENT,Mid
Tube Investments of India Ltd,540762,Auto Ancillaries,TIINDIA,Mid
TVS Motor Company Ltd,532343,Automobiles - Motorcycles / Mopeds,TVSMOTOR,Mid
Union Bank of India,532477,Banks - Public Sector,UNIONBANK,Mid
Vodafone Idea Ltd,532822,Telecommunications - Service Provider,IDEA,Mid
Voltas Ltd,500575,Air-conditioners,VOLTAS,Mid
Whirlpool of India Ltd,500238,Domestic Appliances,WHIRLPOOL,Mid
Yes Bank Ltd,532648,Yes Bank Ltd,YESBANK,Mid